Nome via;geopoint;edge_id
VIA TOLMINO;44.4974672343601, 11.3160312523868;b38[0]
VIA PRATI DI CAPRARA;44.5059291474411, 11.3094463610492;b4[1][1][1]
LARGO BARTOLO NIGRISOLI;44.5039426162009, 11.3156346572437;b70
VIA VITTORIO VENETO;44.5009942351004, 11.3215733072765;b55
VIA PASUBIO;44.5006771544669, 11.3107102075303;b15
VIALE SANDRO PERTINI;44.5053154347885, 11.309082303102;b3[1]
VIA EMILIA PONENTE;44.5054053954154, 11.3096947184232;b8
VIA AURELIO SAFFI;44.5001722736237, 11.324532869825;b12
VIA AURELIO SAFFI;44.4994937005152, 11.3266685739012;b12
VIA MARZABOTTO;44.4992572264694, 11.309913896272;b20+19a
VIA MARZABOTTO;44.5039186889583, 11.3132064397937;b17[1]
VIA SARAGOZZA;44.4896143680428, 11.3208167613095;a195
VIA SARAGOZZA;44.4895928457479, 11.3209092063132;a195
VIA TOLMINO;44.4974351312945, 11.3165523765202;a71
VIA TOLMINO;44.4975833129702, 11.3156919816636;b2[0]
VIA DEL TIMAVO;44.498596866165, 11.3167288638096;b38[0]a
VIA PASUBIO;44.4986653950908, 11.3172169050193;b47
VIALE M. KARAMCHAND GANDHI;44.4985943485971, 11.3103750297562;b2[1][0]
VIA MONTEFIORINO;44.4973287210753, 11.3159062928132;a67
VIA ALESSANDRO GUIDOTTI;44.4905328608867, 11.3260133446752;a60
VIALE CARLO PEPOLI;44.4937218654403, 11.3287720902502;a43[0]
VIALE GIOVANNI VICINI;44.4948641751239, 11.328173238949;a201
VIALE M. KARAMCHAND GANDHI;44.4988573896583, 11.3094985934965;b20+19a
VIALE SANDRO PERTINI;44.5053085046798, 11.3092167352814;b4[1][1][0]
VIA CIMABUE;44.5033998910462, 11.314438289839;b31
VIALE M. KARAMCHAND GANDHI;44.4991747026869, 11.3087294098062;b2[1][1][1]b
VIA MARZABOTTO;44.499278975506, 11.3101650805774;b23
VIA DEL TIMAVO;44.4977904881531, 11.3163420592928;b38[0]
VIALE M. KARAMCHAND GANDHI;44.4978131399409, 11.3132403786183;b2[1][0]
VIA DEL TIMAVO;44.4988944328703, 11.3170094340646;b38[1][0]
VIA PRATI DI CAPRARA;44.5058710102678, 11.3095630279905;b4[1][1][1]
VIA EMILIA PONENTE;44.5057316740375, 11.3090333624097;b10
VIA VITTORIO VENETO;44.5010742719742, 11.3215190419811;b55
VIALE GIOVANNI VICINI;44.498954845287, 11.3268760258863;a124
VIA SABOTINO;44.4970385266486, 11.3237550845001;a122
VIA PASUBIO;44.4989091324745, 11.316433339438;b37
VIALE CARLO PEPOLI;44.4944770870484, 11.3283224582864;a43[1]
PIAZZA DI PORTA S.ISAIA;44.494620361561, 11.328674717615;a134
VIALE M. KARAMCHAND GANDHI;44.4978561467662, 11.31326041783;b2[1][0]
VIALE GIOVANNI VICINI;44.494907669431, 11.3283987885526;a201
VIA SARAGOZZA;44.4903451512572, 11.3258609026138;a60
VIALE GIOVANNI VICINI;44.4968992842874, 11.3275349874958;a201
VIALE M. KARAMCHAND GANDHI;44.4990522268361, 11.3086826273458;b2[1][1][1]b
VIA FRANCESCO RONCATI;44.4937079783006, 11.3282993665462;a117
LARGO BARTOLO NIGRISOLI;44.5039310321156, 11.3156585697439;b71
VIA INNOCENZO MALVASIA;44.5012616462669, 11.3216426062022;b53
VIALE GIOVANNI VICINI;44.4972874200715, 11.3276196333253;a204a[0]
VIALE ANTONIO SILVANI;44.5010668033697, 11.330518010785;a204[1][1]
VIALE ANTONIO SILVANI;44.5007251431592, 11.3294927544257;a203[0]
VIALE ANTONIO SILVANI;44.4996245123973, 11.3275922602577;a204[1][1]
VIA INNOCENZO MALVASIA;44.5013661662167, 11.3218017649932;b53
VIA EMILIA PONENTE;44.5041992237176, 11.3133986552922;b76
VIA AURELIO SAFFI;44.5004735823277, 11.3239415903186;b12
VIA S.FELICE;44.4989805631524, 11.3278724580295;a55
VIA MARZABOTTO;44.5038846559691, 11.3133096525433;b17[1]
VIA MONTEFIORINO;44.4972742515867, 11.3160137227682;a11
VIA IRMA BANDIERA;44.4916097902182, 11.3124430502643;a104
VIA S.FELICE;44.4980414260355, 11.3307270636654;a55
